Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <lastname_phonetic>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <common_names>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <fullname_phonetic>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <nickname_phonetic>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <firstname_phonetic>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <contacts>","","0",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <common_names> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<common_names>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <nickname_phonetic> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <nickname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <nickname_phonetic> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <nickname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<fullname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <firstname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<firstname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <nickname_phonetic> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<nickname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <fullname_phonetic> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <firstname_phonetic> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <contacts>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <common_names>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <fullname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <firstname_phonetic> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <firstname_phonetic> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <contacts> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <firstname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <fullname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<contacts>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <common_names> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <lastname_phonetic> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <fullname_phonetic> 打电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <lastname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","<lastname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打电话 <common_names>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <fullname_phonetic> 的 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <common_names> 电话","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic>","","1",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <firstname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <lastname_phonetic> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨 打电话 <nickname_phonetic>","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <contacts> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 的 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨 打电话 <common_names>","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接通 <common_names> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <firstname_phonetic> 拨 打电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <common_names> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <common_names> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <fullname_phonetic> 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <contacts> 拨 打电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <nickname_phonetic> 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <firstname_phonetic> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <nickname_phonetic> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <contacts> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <common_names> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","给 <lastname_phonetic> 拨 打电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <lastname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts> 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <firstname_phonetic> 号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 的 号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <nickname_phonetic> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接通 <firstname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <contacts> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","打 <lastname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <lastname_phonetic> 号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <nickname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <fullname_phonetic> 的 号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts> 的 号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接通 <nickname_phonetic> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨打 <contacts> 的 电话号码","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <contacts> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","接 <common_names> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","拨 打电话 <firstname_phonetic>","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <common_names> 的 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","呼叫 <fullname_phonetic> 电话","","2",""
"HFD","1.0","Unknown","Unknown",True,"HFD Home","HFD Home - Call By Name","","致电 <nickname_phonetic> 的 电话","","2",""
