Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"News","1.0","Unknown","Unknown",True,"News","News Catch","","新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 一些 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 看 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 一些 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一些 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 些 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 一点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 读 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 些 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 一 看 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 一点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 些 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一 读 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","来 点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","看 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","读 一点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News Catch","","要 点 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 看 本地 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 读 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一 读 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 一些 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一些 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 一些 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 看 当地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 一 看 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 本地 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 一些 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","看 一 看 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 些 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 一点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","来 些 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 一点 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 一些 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一 读 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 一些 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","要 些 本地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Get Local News","","读 读 当地 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 看 类别","","0",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 看 新闻 类别","","0",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 一 看 新闻 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 一 读 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 新闻 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 读 新闻 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 新闻 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 一 看 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 看 类","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 一 读 新闻 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 看 新闻 类","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 读 类别","","1",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 新闻 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 一 看 新闻 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 新闻 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 读 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 一 读 新闻 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 一 看 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 读 新闻 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","看 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","Show Categories","","读 一 读 类","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","看 看 <news_categories> 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 读 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","要 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","来 一些 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","<news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 一 读 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","来 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 一些 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","看 一 看 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","看 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","要 一些 <news_categories> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","要 一点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","来 点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","要 些 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 些 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","读 一点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","来 一点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","来 些 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Category","","要 点 <news_categories> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 关于 <news_keywords> 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 关于 <news_keywords> 的 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 <news_keywords> 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 <news_keywords> 的 新闻","","0",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一 读 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 有关 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一 读 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一 读 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 看 有关 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","<news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一 读 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","<news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 关于 <news_keywords> 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 关于 <news_keywords> 的 新闻","","1",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一 读 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一点 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一点 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 点 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一点 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一点 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 点 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 点 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 点 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一些 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 些 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 点 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 一 看 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 些 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一些 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 点 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 一点 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 些 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 些 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 些 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 有关 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 些 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 些 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 点 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","看 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 些 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 读 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 些 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一些 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 些 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一点 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 点 关于 <news_keywords> 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 点 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","读 一点 关于 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","要 有关 <news_keywords> 的 新闻","","2",""
"News","1.0","Unknown","Unknown",True,"News","News by Keyword","","来 一点 关于 <news_keywords> 的 新闻","","2",""
