Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂停","","0",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停","","0",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂停 会话","","0",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停 会话","","0",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","我 想 暂停","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","可以 不 可以 暂停 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","我 想 暂停 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 中止","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂停","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","可以 暂停 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停 啊","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能不能 暂停 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能否 暂停 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","能不能 暂停","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂时 停止 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","可以 暂停","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","暂停 会话 啊","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","请 暂时 停止 会话","","1",""
"System","1.0","Unknown","Unknown",True,"Drive Mode","Drive Mode - Pause","","中止 会话","","1",""
