Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Timer","1.0","Unknown","Unknown",True,"Get Time","Get Time","","<timer_time>","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","好","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","开始","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","开启","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","开动","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","行","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","恩","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","嗯","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","是","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","要","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","是 的","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","确定","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","可以","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","继续","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Confirmed","","允许","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","不","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","取消","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","关掉","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","退出","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","别","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","不必","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","没关系","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","去除","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","拒绝","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","不用","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","关","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","关闭","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Rejected","","不要","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","改 时间","","0",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","变 变 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","改 改 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","时间 改","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","改变 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","变 一 变 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","改 一改 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","变 时间","","1",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","时间 改 改","","2",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","时间 变 一 变","","2",""
"Timer","1.0","Unknown","Unknown",True,"Confirm Start Timer","Confirm Start Timer - Change Time Catch","","时间 改变","","2",""
