Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜索 <searchengines> 搜索","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜索 <searchengines> 试 试","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换成 <searchengines> 搜索","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 一 用 <searchengines> 试 试","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 试 <searchengines>","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 试 <searchengines> 搜索","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换成 <searchengines>","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换成 <searchengines> 试 试","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 一 用 <searchengines>","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜索 <searchengines>","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 试 <searchengines> 试 试","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 一 用 <searchengines> 搜索","","0",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 一 用 <searchengines> 搜寻","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换 一 换 <searchengines>","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜寻 <searchengines> 搜索","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 试 <searchengines> 查看","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜查 <searchengines> 搜索","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 <searchengines> 试 试","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 一 用 <searchengines> 搜下","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","试 试 <searchengines> 看 看","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","用 <searchengines> 搜索","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","搜索 <searchengines> 试","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","找到 <searchengines>","","1",""
"WebSearch","1.0","Unknown","Unknown",True,"Other Search Options","Web Site Option","","换成 <searchengines> 看 一 看","","1",""
