Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",是 ,"","0",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",是 要 开启 所有 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",是 开启 所有 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",要 开启 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",肯定 要 开启 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",要 开启 所有 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",是 开启 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",是 开启 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",肯定 要 开启 所有 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",确实 要 开启 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",确实 要 开启 所有 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",确实 要 开启 所有 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",肯定 要 开启 闹钟 ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",yes ,"","1",""
"Alarm","1.0","Unknown","Unknown",True,"Confirm Turn On All Alarms","Confirm Turn On All Alarms - Confirm","",行 ,"","1",""
