Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",<app_shortcut>,"","0",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我 想 <app_shortcut>,"","1",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我 <app_shortcut>,"","1",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",想 <app_shortcut>,"","1",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",俺 想 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我们 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",咱 想 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",想 要 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",咱 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",寡人 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",要 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",朕 想 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我 要 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我 希望 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",咱们 想 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",需要 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",咱们 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我 想 要 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",朕 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",我们 想 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",俺 <app_shortcut>,"","2",""
"Launch Apps","1.0","Unknown","Unknown",True,"Launch Apps","Launch App - Shortcut","",希望 <app_shortcut>,"","2",""
