Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 备忘录 ,"","0",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 一个 备忘录 ,"","0",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 记事 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",建立 一个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",备忘录 创建 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",新建 一个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",加 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 便 签 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",编写 一个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",添加 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",添加 一个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 备 忘 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",建 一个 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 备注 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",写 备忘录 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 一个 便 签 ,"","1",""
"Memo","1.0","Unknown","Unknown",True,"Memo","Create Memo Catch","",创建 一 备忘录 ,"","1",""
