Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 要 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多少 路程 ,"","0",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 要 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 要 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 要 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 要 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多少 公里 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 几 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多少 远 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多少 路 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 多 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 多 长 路程 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还要 走 多少 距离 ,"","1",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 走 多 长 公里 ,"","2",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还 剩 多 公里 ,"","2",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 多 远 ,"","2",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多 长 距离 ,"","2",""
"Navigation","1.0","Unknown","Unknown",True,"Navigation","Distance to Destination","",还有 走 多 长 公里 ,"","2",""
