Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",<poi_categories>,"","0",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",附近 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",周围 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",找 附近 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",<poi_categories> 附近 的 ,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",找 一 家 周围 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",找 一 家 附近 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",选 一 家 周围 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",选 一 家 附近 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",找 周围 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",<poi_categories> 周围 的 ,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",选 附近 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",选 周围 的 <poi_categories>,"","1",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",选 一 家 附近 地 <poi_categories>,"","2",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",周围 的 <poi_categories> 选 一 家 ,"","2",""
"POI","1.0","Unknown","Unknown",True,"Select POI Type","Select POI Category Nearby","",周围 的 <poi_categories> 选 ,"","2",""
