Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",给 本人 检查 电池 模式 ,"","0",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检查 电池 模式 ,"","0",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",批准 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",电池 使用 多少 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检查 电池 使用 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",给 本人 检查 电池 功能 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",帮助 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",把 电池 使用 模式 检查 一下 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",让 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",允许 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",电池 模式 检查 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",本 人 还 剩余 多少 电池 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检查 电源 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",给 本人 检查 电源 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",给 本人 检验 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检查 电池 状态 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",给 俺 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检查 电池 功能 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",显示 电池 使用 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",电池 使用 模式 检查 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",电池 还 剩余 多少 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",本 人 想 要 知道 电池 还 剩余 多少 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",替 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",帮 本人 检查 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",电池 使用 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",检验 电池 模式 ,"","1",""
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","",请 显示 电池 使用 模式 ,"","1",""
