Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s)
"Weather","1.0","Unknown","Unknown",True,"City Prompt","City Prompt","",<city>,"","0",""
"Weather","1.0","Unknown","Unknown",True,"City Prompt","City Prompt","",<city_international>,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 多少 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 怎么样 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 多少 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 怎么样 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 多少 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 怎么样 ,"","0",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 多 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 什么 情况 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 什么 情况 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 怎样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 多 好 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 多 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 雨量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 雨量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 下雨 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 如何 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 下雨 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",下雨 下 得 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 什么 情况 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降水量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 多 高 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降水量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 下雨 下 得 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 多 高 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降水量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 怎样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 多 好 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 多 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 多 好 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 怎样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 多 高 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 如何 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",下雨 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 雨量 多少 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 如何 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 下雨 下 得 大 不 大 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 怎么样 ,"","1",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",大雨 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 下雨 下 得 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 强 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 多 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 什么 情况 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨量 什么 情况 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降水量 怎样 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",毛毛雨 下 得 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 毛毛雨 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 好 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 多 高 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",小雨 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降雨量 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 多 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",降水量 多 高 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 如何 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 小雨 下 得 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 下雨 下 得 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 怎样 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 毛毛雨 下 得 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降水量 多 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 高 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 强 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 大雨 下 得 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨量 多 好 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨 量 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降雨量 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city> 降雨量 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 多 好 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",雨 量 大 不 大 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 雨量 多 好 ,"","2",""
"Weather","1.0","Unknown","Unknown",True,"Weather","Information Check - Precipitation","",<city_international> 降水量 大 不 大 ,"","2",""
